indicator,colony_prefix,pipeline,emma,production_centre,microinjection_date,marker_symbol,es_cell_clone,confirm_locus_targeted,confirm_structure_targeted_allele,confirm_downstream_lox_p_site,confirm_no_additional_vector_insertions,es_dist_qc,es_user_qc,mouse_qc
inprocess,UCD-10009A-F9-1,KOMP-Regeneron,1,UCD,2008-02-18,Celsr3,10009A-F9,,,,,,,
inprocess,UCD-10009A-G12-1,KOMP-Regeneron,1,UCD,2008-03-11,Celsr3,10009A-G12,,,,,,,
inprocess,UCD-10011B-E10-1,KOMP-Regeneron,1,UCD,2008-08-05,Lgi2,10011B-E10,,,,,,,
inprocess,BL1071,KOMP-Regeneron,1,UCD,2009-04-01,Lgi2,10011B-G3,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10016C-F2-1,KOMP-Regeneron,1,UCD,2008-05-13,Glp2r,10016C-F2,,,,,,,
inprocess,UCD-10018G-C5-1,KOMP-Regeneron,1,UCD,2011-12-13,Gdf2,10018G-C5,,,,,,,
inprocess,UCD-10022B-C9-1,KOMP-Regeneron,1,UCD,2008-02-18,Fjx1,10022B-C9,,,,,,,
inprocess,UCD-10023B-F4-1,KOMP-Regeneron,1,UCD,2008-08-05,Gpr34,10023B-F4,,,,,,,
inprocess,UCD-10024B-B4-1,KOMP-Regeneron,1,UCD,2008-06-23,Chst7,10024B-B4,,,,,,,
inprocess,UCD-10025A-F2-1,KOMP-Regeneron,1,UCD,2008-08-05,S100a14,10025A-F2,,,,,,,
inprocess,UCD-10028A-E7-1,KOMP-Regeneron,1,UCD,2008-08-19,Wnt6,10028A-E7,,,,,,,
inprocess,UCD-10029B-F2-1,KOMP-Regeneron,1,UCD,2008-02-18,Igfbp4,10029B-F2,,,,,,,
inprocess,UCD-10031B-A6-1,KOMP-Regeneron,1,UCD,2008-08-19,Gpr162,10031B-A6,,,,,,,
inprocess,UCD-10036B-C3-1,KOMP-Regeneron,1,UCD,2008-10-21,Il20,10036B-C3,,,,,,,
inprocess,UCD-10043A-F7-1,KOMP-Regeneron,1,UCD,2008-05-13,Epha1,10043A-F7,,,,,,,
inprocess,UCD-10044A-A1-1,KOMP-Regeneron,1,UCD,2009-02-10,Igfbp3,10044A-A1,,,,,,,
inprocess,UCD-10049A-G9-1,KOMP-Regeneron,1,UCD,2008-08-05,Unc93b1,10049A-G9,,,,,,,
inprocess,UCD-10052A-A7-1,KOMP-Regeneron,1,UCD,2008-02-18,Tmem176b,10052A-A7,,,,,,,
inprocess,UCD-10052A-C3-1,KOMP-Regeneron,1,UCD,2008-06-23,Tmem176b,10052A-C3,,,,,,,
inprocess,UCD-10053F-G10-1,KOMP-Regeneron,1,UCD,2009-05-11,Kcne3,10053F-G10,,,,,,,
inprocess,UCD-10053G-F11-1,KOMP-Regeneron,1,UCD,2009-05-11,Kcne3,10053G-F11,,,,,,,
inprocess,UCD-10055A-H10-1,KOMP-Regeneron,1,UCD,2008-05-13,Bambi,10055A-H10,,,,,,,
inprocess,UCD-10063E-C11-1,KOMP-Regeneron,1,UCD,2009-02-10,Taar1,10063E-C11,,,,,,,
inprocess,BL817,KOMP-Regeneron,1,UCD,2008-06-05,Calcb,10064A-A10,,,,,,,
inprocess,UCD-10064A-B12-1,KOMP-Regeneron,1,UCD,2008-08-05,Calcb,10064A-B12,,,,,,,
inprocess,UCD-10067A-A2-1,KOMP-Regeneron,1,UCD,2008-03-11,Lrg1,10067A-A2,,,,,,,
inprocess,UCD-10069B-C10-1,KOMP-Regeneron,1,UCD,2008-03-11,Sost,10069B-C10,,,,,,,
inprocess,UCD-10073A-F3-1,KOMP-Regeneron,1,UCD,2009-09-28,Ms4a3,10073A-F3,,,,,,,
inprocess,UCD-10078B-D2-1,KOMP-Regeneron,1,UCD,2008-08-19,Sectm1a,10078B-D2,,,,,,,
inprocess,UCD-10080B-F8-1,KOMP-Regeneron,1,UCD,2008-08-19,Gprc6a,10080B-F8,,,,,,,
inprocess,UCD-10084B-C2-1,KOMP-Regeneron,1,UCD,2008-02-18,Sema3g,10084B-C2,,,,,,,
