mi_attempt,centre
https://www.mousephenotype.org/imits/mi_attempts/14355,TCP
https://www.mousephenotype.org/imits/mi_attempts/14359,TCP
https://www.mousephenotype.org/imits/mi_attempts/14345,TCP
https://www.mousephenotype.org/imits/mi_attempts/14595,TCP
https://www.mousephenotype.org/imits/mi_attempts/14775,TCP
https://www.mousephenotype.org/imits/mi_attempts/15241,TCP
https://www.mousephenotype.org/imits/mi_attempts/15248,TCP
https://www.mousephenotype.org/imits/mi_attempts/15249,TCP
https://www.mousephenotype.org/imits/mi_attempts/14343,TCP
https://www.mousephenotype.org/imits/mi_attempts/14353,TCP
https://www.mousephenotype.org/imits/mi_attempts/14342,TCP
https://www.mousephenotype.org/imits/mi_attempts/14497,TCP
https://www.mousephenotype.org/imits/mi_attempts/14789,TCP
https://www.mousephenotype.org/imits/mi_attempts/14804,TCP
https://www.mousephenotype.org/imits/mi_attempts/14778,TCP
https://www.mousephenotype.org/imits/mi_attempts/14785,TCP
https://www.mousephenotype.org/imits/mi_attempts/14777,TCP
https://www.mousephenotype.org/imits/mi_attempts/14366,TCP
https://www.mousephenotype.org/imits/mi_attempts/14354,TCP
https://www.mousephenotype.org/imits/mi_attempts/15244,TCP
https://www.mousephenotype.org/imits/mi_attempts/14360,TCP
https://www.mousephenotype.org/imits/mi_attempts/15231,TCP
https://www.mousephenotype.org/imits/mi_attempts/15238,TCP
https://www.mousephenotype.org/imits/mi_attempts/14346,TCP
https://www.mousephenotype.org/imits/mi_attempts/14347,TCP
https://www.mousephenotype.org/imits/mi_attempts/14362,TCP
https://www.mousephenotype.org/imits/mi_attempts/14350,TCP
https://www.mousephenotype.org/imits/mi_attempts/14365,TCP
https://www.mousephenotype.org/imits/mi_attempts/14344,TCP
https://www.mousephenotype.org/imits/mi_attempts/14356,TCP
https://www.mousephenotype.org/imits/mi_attempts/14348,TCP
https://www.mousephenotype.org/imits/mi_attempts/14351,TCP
https://www.mousephenotype.org/imits/mi_attempts/14358,TCP
https://www.mousephenotype.org/imits/mi_attempts/14656,TCP
https://www.mousephenotype.org/imits/mi_attempts/14653,TCP
https://www.mousephenotype.org/imits/mi_attempts/14654,TCP
https://www.mousephenotype.org/imits/mi_attempts/14790,TCP
https://www.mousephenotype.org/imits/mi_attempts/14644,TCP
https://www.mousephenotype.org/imits/mi_attempts/14349,TCP
https://www.mousephenotype.org/imits/mi_attempts/14597,TCP
https://www.mousephenotype.org/imits/mi_attempts/14363,TCP
https://www.mousephenotype.org/imits/mi_attempts/14651,TCP
https://www.mousephenotype.org/imits/mi_attempts/14596,TCP
https://www.mousephenotype.org/imits/mi_attempts/14645,TCP
https://www.mousephenotype.org/imits/mi_attempts/14791,TCP
https://www.mousephenotype.org/imits/mi_attempts/14652,TCP
https://www.mousephenotype.org/imits/mi_attempts/14357,TCP
https://www.mousephenotype.org/imits/mi_attempts/14473,TCP
https://www.mousephenotype.org/imits/mi_attempts/14811,TCP
https://www.mousephenotype.org/imits/mi_attempts/14812,TCP
https://www.mousephenotype.org/imits/mi_attempts/14598,TCP
https://www.mousephenotype.org/imits/mi_attempts/14813,TCP
https://www.mousephenotype.org/imits/mi_attempts/14657,TCP
https://www.mousephenotype.org/imits/mi_attempts/14655,TCP
https://www.mousephenotype.org/imits/mi_attempts/15108,TCP
https://www.mousephenotype.org/imits/mi_attempts/14805,TCP
https://www.mousephenotype.org/imits/mi_attempts/14776,TCP
https://www.mousephenotype.org/imits/mi_attempts/15107,TCP
https://www.mousephenotype.org/imits/mi_attempts/14803,TCP
https://www.mousephenotype.org/imits/mi_attempts/14650,TCP
https://www.mousephenotype.org/imits/mi_attempts/14364,TCP
https://www.mousephenotype.org/imits/mi_attempts/15232,TCP
https://www.mousephenotype.org/imits/mi_attempts/14814,TCP
https://www.mousephenotype.org/imits/mi_attempts/14649,TCP
https://www.mousephenotype.org/imits/mi_attempts/15235,TCP
https://www.mousephenotype.org/imits/mi_attempts/15247,TCP
https://www.mousephenotype.org/imits/mi_attempts/15250,TCP
https://www.mousephenotype.org/imits/mi_attempts/15246,TCP
https://www.mousephenotype.org/imits/mi_attempts/15242,TCP
https://www.mousephenotype.org/imits/mi_attempts/15236,TCP
https://www.mousephenotype.org/imits/mi_attempts/15254,TCP
https://www.mousephenotype.org/imits/mi_attempts/15252,TCP
https://www.mousephenotype.org/imits/mi_attempts/15245,TCP
https://www.mousephenotype.org/imits/mi_attempts/15243,TCP
https://www.mousephenotype.org/imits/mi_attempts/15234,TCP
https://www.mousephenotype.org/imits/mi_attempts/15253,TCP
https://www.mousephenotype.org/imits/mi_attempts/15251,TCP
https://www.mousephenotype.org/imits/mi_attempts/14646,TCP
https://www.mousephenotype.org/imits/mi_attempts/15240,TCP
https://www.mousephenotype.org/imits/mi_attempts/15233,TCP
https://www.mousephenotype.org/imits/mi_attempts/14352,TCP
https://www.mousephenotype.org/imits/mi_attempts/15239,TCP
