marker_symbol,mgi_accession_id
Atp4b,MGI:88114
Col4a1,MGI:88454
Upk3a,MGI:98914
Tmem59l,MGI:1915187
Zfp383,MGI:1920979
Ttll5,MGI:2443657
Cpgi19279,MGI:5684354
Washc4,MGI:2441787
Cav1,MGI:102709
Ttc8,MGI:1923510
Cyth3,MGI:1335107
Bmp2,MGI:88177
Lipa,MGI:96789
Gchfr,MGI:2443977
Gm6498,MGI:3647773
Dgkg,MGI:105060
Mir744,MGI:3691603
BC049762,MGI:3039622
Usp49,MGI:2685391
Chchd6,MGI:1913348
Rfx4,MGI:1918387
Cep72,MGI:1921720
Gm15440,MGI:3642353
Ffar4,MGI:2147577
Agbl5,MGI:2441745
Itga11,MGI:2442114
Manba,MGI:88175
Ephx3,MGI:1919182
Trpm8,MGI:2181435
Pias3,MGI:1913126
Retnlg,MGI:2667763
Csde1,MGI:92356
0610037L13Rik,MGI:1921348
Trerf1,MGI:2442086
Lgi2,MGI:2180196
Chga,MGI:88394
Akap3,MGI:1341149
Ifi207,MGI:2138302
Csl,MGI:1919082
Gprasp1,MGI:1917418
Fam172a,MGI:1915925
Per3,MGI:1277134
Gm12253,MGI:3651568
Uts2r,MGI:2183450
Prokr2,MGI:2181363
Cd34,MGI:88329
Prkcg,MGI:97597
Trp53i11,MGI:2670995
Ifitm2,MGI:1933382
Slc31a2,MGI:1333844
Tmem41b,MGI:1289225
6330403K07Rik,MGI:1918001
Zfp618,MGI:1919950
Spp2,MGI:1922646
Tmem35a,MGI:1914814
Acox2,MGI:1934852
Itgam,MGI:96607
Sept9,MGI:1858222
Magee2,MGI:2148316
Zbtb1,MGI:2442326
Tmem192,MGI:1920317
Fbxw11,MGI:2144023
Yap1,MGI:103262
Efr3a,MGI:1923990
Gosr1,MGI:1858260
0610005C13Rik,MGI:1918911
Jph4,MGI:2443113
Creg1,MGI:1344382
Slf2,MGI:1924968
Fbxl13,MGI:2443416
Usf1,MGI:99542
Myh2,MGI:1339710
Mapk8ip2,MGI:1926555
Syt2,MGI:99666
1700012A03Rik,MGI:1923632
Rreb1,MGI:2443664
BC037034,MGI:2385896
Bcs1l,MGI:1914071
Ctcf,MGI:109447
Fcgr1,MGI:95498
Mtpn,MGI:99445
Srcap,MGI:2444036
0610009L18Rik,MGI:1914088
Dusp14,MGI:1927168
Amz1,MGI:2442258
Ipcef1,MGI:2444159
Sned1,MGI:3045960
Mb,MGI:96922
Pyy,MGI:99924
Cldn5,MGI:1276112
Gm2694,MGI:3780864
Olfr272,MGI:3030106
Serpinf2,MGI:107173
Rgs14,MGI:1859709
Slc27a2,MGI:1347099
Mrpl20,MGI:2137221
Nlrp3,MGI:2653833
Mir675,MGI:3629709
Psg21,MGI:1891353
Plekhg4,MGI:2142544
Hsph1,MGI:105053
Tac2,MGI:98476
Stoml2,MGI:1913842
Cpgi13568,MGI:5678652
Spink8,MGI:1925959
Tlr13,MGI:3045213
Flot1,MGI:1100500
