marker_symbol,mi_attempt_id,id,gene_id,assembly,chromosome,strand,homology_arm_start,homology_arm_end,loxp_start,loxp_end,cassette_start,cassette_end,cassette,backbone,subtype_description,floxed_start_exon,floxed_end_exon,project_design_id,reporter,mutation_method_id,mutation_type_id,mutation_subtype_id,cassette_type,created_at,updated_at,intron,type,has_issue,issue_description,sequence,taqman_critical_del_assay_id,taqman_upstream_del_assay_id,taqman_downstream_del_assay_id,wildtype_oligos_sequence,allele_genbank_file_id,vector_genbank_file_id
0610009B22Rik,8234,31066,7388,GRCm38,11,-,51692378,51681431,51685146,51685106,51686498,51686476,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000679023,ENSMUSE00000679023,294929,,1,1,2,Promotor Driven,2011-04-06 11:17:23 UTC,2014-07-17 12:58:15 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00737082_cn,,,31508,104789
0610009L18Rik,774,6074,558,GRCm38,11,+,120345412,120356281,120351408,120351419,120350295,120350407,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000372489,ENSMUSE00000372489,46983,,1,1,2,Promotor Driven,2010-03-10 17:10:46 UTC,2011-03-24 13:56:32 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,14983,94099
0610010F05Rik,7384,8373,10175,GRCm38,11,-,23620976,23611027,23614946,23614833,23615698,23615648,L1L2_Bact_P,L3L4_pZero_DTA_kan,,ENSMUSE00000655136,ENSMUSE00000655136,96773,,1,1,2,Promotor Driven,2010-03-10 17:19:27 UTC,2014-07-17 13:24:50 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736051_cn,,,3696,84117
0610010K14Rik,3613,38386,2193,GRCm38,11,-,70252801,70220397,,,70237801,70235397,ZEN-Ub1,,,ENSMUSE00000661967,ENSMUSE00000677264,,,1,2,2,Promotor Driven,2012-05-11 18:30:48 UTC,2012-05-11 18:30:48 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,39813,
0610037L13Rik,3100,9407,1316,GRCm38,4,+,107885501,107897211,107893594,107893662,107891021,107891106,L1L2_Pgk_P,L3L4_pD223_DTA_spec,,ENSMUSE00000180570,ENSMUSE00000180574,103566,,1,1,1,Promotor Driven,2010-03-10 17:23:24 UTC,2011-03-24 13:59:10 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,16791,95703
0610037L13Rik,3540,9407,1316,GRCm38,4,+,107885501,107897211,107893594,107893662,107891021,107891106,L1L2_Pgk_P,L3L4_pD223_DTA_spec,,ENSMUSE00000180570,ENSMUSE00000180574,103566,,1,1,1,Promotor Driven,2010-03-10 17:23:24 UTC,2011-03-24 13:59:10 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,16791,95703
1110004F10Rik,7736,11264,13352,GRCm38,7,+,116097831,116109159,116103594,116103658,116102783,116102797,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000201823,ENSMUSE00000201823,55604,,1,1,2,Promotor Driven,2010-03-10 17:30:33 UTC,2014-07-17 13:17:32 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00735926_cn,,,17246,96121
1110008P14Rik,3571,9287,2162,GRCm38,2,-,32385867,32375107,,,32379603,32379098,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000275609,ENSMUSE00000275609,231408,,1,2,,Promotor Driven,2010-03-10 17:22:58 UTC,2012-10-29 17:54:59 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,9099,88798
1110032A03Rik,10148,38388,8918,GRCm38,9,-,50782896,50748851,,,50767896,50763851,ZEN-Ub1,,,ENSMUSE00000283779,ENSMUSE00000283627,,,1,2,2,Promotor Driven,2012-05-11 18:30:52 UTC,2012-05-11 18:30:52 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,39815,
1110032A03Rik,10817,38388,8918,GRCm38,9,-,50782896,50748851,,,50767896,50763851,ZEN-Ub1,,,ENSMUSE00000283779,ENSMUSE00000283627,,,1,2,2,Promotor Driven,2012-05-11 18:30:52 UTC,2012-05-11 18:30:52 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,39815,
1110051M20Rik,11006,6762,8478,GRCm38,2,-,91389575,91379289,91383577,91383458,91384335,91384252,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000302929,ENSMUSE00000302929,82910,,1,1,2,Promotor Driven,2010-03-10 17:13:17 UTC,2011-03-24 13:57:06 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15047,94160
1110059G10Rik,5148,5669,7492,GRCm38,9,-,122955360,122944109,122947823,122947811,122949493,122949486,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000220695,ENSMUSE00000735146,213185,,1,1,2,Promotor Driven,2010-03-10 17:09:18 UTC,2014-07-17 12:52:24 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00734660_cn,,7746,87643
1190002N15Rik,3547,7289,2143,GRCm38,9,-,94530331,94520817,94524229,94524111,94525140,94525062,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000391647,ENSMUSE00000391647,112450,,1,1,2,Promotor Driven,2010-03-10 17:15:17 UTC,2014-07-17 12:42:56 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00734062_cn,,,8369,88075
1500011B03Rik,1942,5682,1341,GRCm38,5,-,114819138,114803959,,,114813207,114808175,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,,,221342,,1,2,,Promotor Driven,2010-03-10 17:09:20 UTC,2014-07-17 12:53:39 UTC,,TargRep::TargetedAllele,FALSE,,,Mm00735315_cn,,,,7753,114764
1500015O10Rik,12934,25359,13037,GRCm38,1,+,43733333,43743734,43738872,43738938,43738101,43738157,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000155402,ENSMUSE00000155402,40480,,1,1,2,Promotor Driven,2010-08-20 13:56:17 UTC,2011-03-24 14:12:36 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,23702,100333
1600029I14Rik,12491,7711,9426,GRCm38,9,+,99468672,99479036,99474917,99475006,99473919,99474034,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000880076,ENSMUSE00000880076,213236,,1,1,2,Promotor Driven,2010-03-10 17:16:59 UTC,2011-07-28 13:09:43 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,8586,114074
1700001C02Rik,616,9883,663,GRCm38,5,+,30475200,30485604,30480870,30480945,30479938,30479975,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000274100,ENSMUSE00000274100,48271,,1,1,2,Promotor Driven,2010-03-10 17:25:15 UTC,2014-07-17 13:15:14 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00735167_cn,,,17023,95923
1700001C02Rik,11056,9883,663,GRCm38,5,+,30475200,30485604,30480870,30480945,30479938,30479975,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000274100,ENSMUSE00000274100,48271,,1,1,2,Promotor Driven,2010-03-10 17:25:15 UTC,2014-07-17 13:15:14 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00735167_cn,,,17023,95923
1700001K19Rik,4760,23805,7566,GRCm38,12,-,110676122,110664309,110668305,110668246,110670552,110670541,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000437587,ENSMUSE00000437583,194369,,1,1,2,Promotor Driven,2010-07-09 02:33:13 UTC,2014-07-17 12:48:56 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736095_cn,,,22072,99299
1700001P01Rik,15330,36219,10473,GRCm38,11,-,97779131,97768193,97772511,97772493,97773185,97773184,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000577583,ENSMUSE00000577583,385642,,1,1,2,Promotor Driven,2011-12-08 02:06:54 UTC,2014-07-17 13:01:57 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00736901_cn,,35148,108338
1700001P01Rik,17216,36219,10473,GRCm38,11,-,97779131,97768193,97772511,97772493,97773185,97773184,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000577583,ENSMUSE00000577583,385642,,1,1,2,Promotor Driven,2011-12-08 02:06:54 UTC,2014-07-17 13:01:57 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00736901_cn,,35148,108338
1700003F12Rik,4522,21198,2487,GRCm38,2,+,154533926,154564964,,,154548926,154549964,ZEN-UB1.GB,,,ENSMUSE00000800796,ENSMUSE00000327725,,,1,2,2,Promotor Driven,2010-05-18 09:08:05 UTC,2011-07-15 11:18:47 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,35887,
1700007K13Rik,6967,7491,9187,GRCm38,2,-,28471196,28460731,28464938,28464889,28465495,28465492,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000604757,ENSMUSE00000604757,213239,,1,1,2,Promotor Driven,2010-03-10 17:16:01 UTC,2014-07-17 12:52:25 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736171_cn,,,8475,88177
